Customer_ID,Customer_Name,Segment,City,State,Region,Customer_Since
C0001,Customer 1,Consumer,Noida,Uttar Pradesh,North,2025-10-22
C0002,Customer 2,Corporate,Lucknow,Uttar Pradesh,North,2024-03-09
C0003,Customer 3,Consumer,Patna,Bihar,East,2024-09-10
C0004,Customer 4,Consumer,Patna,Bihar,East,2025-03-28
C0005,Customer 5,Consumer,Bhubaneswar,Odisha,East,2024-05-30
C0006,Customer 6,Small Business,Delhi,Delhi,North,2025-10-23
C0007,Customer 7,Consumer,Bengaluru,Karnataka,South,2025-04-14
C0008,Customer 8,Consumer,Udaipur,Rajasthan,North,2025-09-15
C0009,Customer 9,Corporate,Gandhinagar,Gujarat,West,2024-08-14
C0010,Customer 10,Consumer,Udaipur,Rajasthan,North,2024-03-14
C0011,Customer 11,Corporate,Pune,Maharashtra,West,2024-08-28
C0012,Customer 12,Home Office,Pune,Maharashtra,West,2024-10-03
C0013,Customer 13,Consumer,Nagpur,Maharashtra,West,2024-05-10
C0014,Customer 14,Consumer,Noida,Uttar Pradesh,North,2025-10-19
C0015,Customer 15,Consumer,Jodhpur,Rajasthan,North,2025-05-25
C0016,Customer 16,Consumer,Patna,Bihar,East,2024-10-31
C0017,Customer 17,Consumer,Bengaluru,Karnataka,South,2025-07-02
C0018,Customer 18,Consumer,Kolkata,West Bengal,East,2024-04-17
C0019,Customer 19,Corporate,Jodhpur,Rajasthan,North,2025-07-18
C0020,Customer 20,Consumer,Gandhinagar,Gujarat,West,2025-07-14
C0021,Customer 21,Consumer,Kolkata,West Bengal,East,2025-05-26
C0022,Customer 22,Corporate,Jaipur,Rajasthan,North,2024-05-23
C0023,Customer 23,Consumer,Noida,Uttar Pradesh,North,2025-02-02
C0024,Customer 24,Small Business,Ahmedabad,Gujarat,West,2024-08-20
C0025,Customer 25,Home Office,Kolkata,West Bengal,East,2025-02-04
C0026,Customer 26,Home Office,Delhi,Delhi,North,2024-04-11
C0027,Customer 27,Consumer,Jodhpur,Rajasthan,North,2024-12-01
