Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Product_ID,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Unit_Cost,Shipping_Cost,Marketing_Cost,Payment_Mode,Sales_Channel,Order_Status,Salesperson,Production_City,Customer_Rating,Return_Reason
ORD000001,2024-06-09,C0184,Customer 184,Consumer,North,Rajasthan,Jaipur,P002,Electronics,Smartphone,3,24594.91,5,20287.21,300,1178.35,Credit Card,Online,Delivered,Farhan,Pune,1,
ORD000002,2025-03-27,C0089,Customer 89,Corporate,North,Uttar Pradesh,Lucknow,P015,Appliances,Mixer Grinder,1,2824.65,5,2578.9,200,131.69,Credit Card,Online,In Transit,Farhan,Pune,1,
ORD000003,2024-05-18,C0344,Customer 344,Consumer,East,Bihar,Patna,P001,Electronics,Laptop,4,36747.44,35,38650.52,80,8240.79,Wallet,Distributor,Delivered,Priyanka,Hyderabad,,
ORD000004,2024-10-27,C0077,Customer 77,Consumer,East,Bihar,Patna,P002,Electronics,Smartphone,2,18957.86,12,20260.04,200,637.2,Credit Card,Online,Returned,Imran,Ahmedabad,4,Price Issue
ORD000005,2024-10-09,C0463,Customer 463,Consumer,North,Rajasthan,Jaipur,P010,Office Supplies,Notebook Pack,2,233.18,10,121.3,200,27.24,COD,Online,Delivered,Jay,Bengaluru,3,
ORD000006,2025-01-25,C0570,Customer 570,Corporate,North,Delhi,Delhi,P008,Furniture,Bookshelf,1,5972.64,12,3753.1,300,264.67,COD,Distributor,Returned,Sonal,Gandhinagar,1,Damaged
ORD000007,2024-11-06,C0340,Customer 340,Consumer,North,Delhi,Delhi,P004,Electronics,Monitor,1,14874.92,5,10363.33,300,308.44,Debit Card,Marketplace,Delivered,Imran,Bengaluru,1,
ORD000008,2024-07-04,C0564,Customer 564,Consumer,West,Gujarat,Ahmedabad,P016,Appliances,Water Purifier,1,11921.85,7,10931.23,80,708.99,COD,Marketplace,Delivered,Mehul,Hyderabad,5,
ORD000009,2025-02-15,C0225,Customer 225,Consumer,East,Bihar,Patna,P001,Electronics,Laptop,8,41869.39,12,41179.57,144,16145.67,Net Banking,Distributor,Delivered,Imran,Chennai,2,
ORD000010,2025-03-26,C0606,Customer 606,Consumer,West,Maharashtra,Pune,P001,Electronics,Laptop,4,50987.08,,44447.27,80,2959.88,Credit Card,Online,Delivered,Nitin,Chennai,4,
ORD000011,2024-01-11,C0182,Customer 182,Consumer,South,Telangana,Hyderabad,P011,Office Supplies,Printer Paper,1,378.38,7,252.77,450,14.87,Debit Card,Distributor,Delivered,Imran,Noida,2,
ORD000012,2024-04-04,C0325,Customer 325,Consumer,South,Tamil Nadu,Chennai,P006,Furniture,Office Chair,4,7116.71,10,5208.96,250,465.93,Wallet,Marketplace,Delivered,Asha,Ahmedabad,1,
ORD000013,2024-07-05,C0655,Customer 655,Consumer,South,Karnataka,Mysuru,P004,Electronics,Monitor,10,10401.69,0,10662.23,540,3363.02,Credit Card,Online,Delivered,Mehul,Pune,3,
ORD000014,2024-04-22,C0430,Customer 430,Home Office,South,Tamil Nadu,Chennai,P006,Furniture,Office Chair,6,7024.32,5,4948.46,270,1372.46,Debit Card,Online,Delivered,Mehul,Surat,3,
ORD000015,2024-09-19,C0077,Customer 77,Consumer,East,Bihar,Patna,P003,Electronics,Bluetooth Speaker,2,2317.01,10,1865.28,200,141.17,Debit Card,Distributor,Delivered,Jay,Chennai,2,
ORD000016,2025-10-17,C0056,Customer 56,Consumer,West,Gujarat,Surat,P012,Office Supplies,Pen Box,1,193.75,0,99.38,120,6.53,Debit Card,Marketplace,Delivered,Priyanka,Jaipur,4,
ORD000017,2025-08-26,C0380,Customer 380,Corporate,West,Maharashtra,Pune,P013,Office Supplies,Stapler,2,317.68,3,169.19,120,9.08,COD,Marketplace,Delivered,Asha,Lucknow,2,
ORD000018,2025-06-04,C0549,Customer 549,Consumer,West,Maharashtra,Nagpur,P016,Appliances,Water Purifier,3,10454.13,0,10871.64,150,502.24,Credit Card,Retail Store,Delivered,Kavita,Pune,2,
ORD000019,2025-06-07,C0643,Customer 643,Small Business,North,Uttar Pradesh,Lucknow,P005,Electronics,Keyboard,5,893.3,5,500.97,1080,249.49,COD,Marketplace,Returned,Sonal,Chennai,4,Late Delivery
ORD000020,2025-08-03,C0109,Customer 109,Consumer,South,Karnataka,Bengaluru,P004,Electronics,Monitor,5,16433.68,10,9326.29,450,2477.27,Net Banking,Distributor,Delivered,Kavita,Ahmedabad,1,
ORD000021,2024-06-15,C0311,Customer 311,Consumer,South,Karnataka,Mysuru,P010,Office Supplies,Notebook Pack,1,177.78,0,134.85,450,7.16,Credit Card,Marketplace,Delivered,Kavita,Gandhinagar,4,
ORD000022,2024-08-30,C0528,Customer 528,Consumer,East,Bihar,Patna,P006,Furniture,Office Chair,1,5455.84,15,5379.77,200,129.3,COD,Marketplace,Delivered,Sonal,Hyderabad,,
